# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Chennai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87618c4aeffffff,13.03102,80.31890,22,77.3
87618c4aeffffff,13.03102,80.31890,23,70.3
87618c4aeffffff,13.03102,80.31890,24,96.3
87618c4aeffffff,13.03102,80.31890,25,84.7
87618c4aeffffff,13.03102,80.31890,26,69.9
87618c4aeffffff,13.03102,80.31890,27,69.6
87618c4aeffffff,13.03102,80.31890,28,81.9
87618c4aeffffff,13.03102,80.31890,29,70.8
87618c4aeffffff,13.03102,80.31890,30,58.8
87618c4aeffffff,13.03102,80.31890,31,71.0
87618c4aeffffff,13.03102,80.31890,32,71.4
87618c4aeffffff,13.03102,80.31890,33,60.8
87618c4aeffffff,13.03102,80.31890,34,88.8
87618c4aeffffff,13.03102,80.31890,35,105.5
87618c4aeffffff,13.03102,80.31890,36,105.8
87618c4aeffffff,13.03102,80.31890,37,91.6
87618c4aeffffff,13.03102,80.31890,38,72.0
87618c4aeffffff,13.03102,80.31890,39,56.2
87618c4aeffffff,13.03102,80.31890,40,71.3
87618c4aeffffff,13.03102,80.31890,41,75.3
87618c4c0ffffff,13.02531,80.17579,0,123.4
87618c4c0ffffff,13.02531,80.17579,1,124.0
87618c4c0ffffff,13.02531,80.17579,2,90.6
87618c4c0ffffff,13.02531,80.17579,3,83.6
87618c4c0ffffff,13.02531,80.17579,4,104.1
87618c4c0ffffff,13.02531,80.17579,5,81.5
87618c4c0ffffff,13.02531,80.17579,6,56.4
87618c4c0ffffff,13.02531,80.17579,7,74.5
87618c4c0ffffff,13.02531,80.17579,8,66.4
87618c4c0ffffff,13.02531,80.17579,9,104.6
87618c4c0ffffff,13.02531,80.17579,10,70.9
87618c4c0ffffff,13.02531,80.17579,11,84.2
87618c4c0ffffff,13.02531,80.17579,12,98.2
87618c4c0ffffff,13.02531,80.17579,13,81.4
87618c4c0ffffff,13.02531,80.17579,14,80.5
87618c4c0ffffff,13.02531,80.17579,15,68.2
87618c4c0ffffff,13.02531,80.17579,16,66.5
87618c4c0ffffff,13.02531,80.17579,17,72.4
87618c4c0ffffff,13.02531,80.17579,18,57.6
87618c4c0ffffff,13.02531,80.17579,19,66.1
87618c4c0ffffff,13.02531,80.17579,20,69.1
87618c4c0ffffff,13.02531,80.17579,21,84.6
87618c4c0ffffff,13.02531,80.17579,22,86.7
87618c4c0ffffff,13.02531,80.17579,23,77.0
87618c4c0ffffff,13.02531,80.17579,24,109.1
87618c4c0ffffff,13.02531,80.17579,25,110.3
87618c4c0ffffff,13.02531,80.17579,26,84.2
